period,canonical,raw_options,raw_used
2019-2021,PERSON_ID,IDREF,IDREF
2019-2021,YEAR,FILEYEAR,FILEYEAR
2019-2021,WEIGHT,NPWT22C,NPWT22C
2019-2021,COUNTRY_CODE,CTRY9D,CTRY9D
2019-2021,REGION_CODE,"GOR9D, GOR9DCENSUS2021",GOR9D
2019-2021,COMBINED_AUTHORITY,"COMBINEDAUTHORITIES, COMBINEDAUTHORITIESCENSUS2021",COMBINEDAUTHORITIES
2019-2021,ITL2_CODE,"ITL221, ITL221CENSUS2021, ITL225CENSUS2021",ITL221
2019-2021,ITL3_CODE,"ITL321, ITL321CENSUS2021, ITL325CENSUS2021",ITL321
2019-2021,AGE,AGE,AGE
2019-2021,SEX,SEX,SEX
2019-2021,LABOUR_STATUS,ILODEFR,ILODEFR
2019-2021,OUTCOME_STATUS,IOUTCOME,IOUTCOME
2019-2021,FULLTIME_PARTTIME,FTPT,FTPT
2019-2021,GROSS_WEEKLY_PAY,GRSSWK,GRSSWK
2019-2021,HOURLY_RATE,HRRATE,HRRATE
2019-2021,HOURPAY,HOURPAY,HOURPAY
2019-2021,HIGHEST_QUAL,"HIQUAL15, HIQUAL22",HIQUAL15
2019-2021,HEALTH_LIMITATION,HEALYR,HEALYR
2019-2021,ETHNICITY,ETH11EW,ETH11EW
2019-2021,COUNTRY_NAME,COUNTRY,COUNTRY
2022-2024,PERSON_ID,IDREF,IDREF
2022-2024,YEAR,FILEYEAR,FILEYEAR
2022-2024,WEIGHT,NPWT22C,NPWT22C
2022-2024,COUNTRY_CODE,CTRY9D,CTRY9D
2022-2024,REGION_CODE,"GOR9D, GOR9DCENSUS2021",GOR9DCENSUS2021
2022-2024,COMBINED_AUTHORITY,"COMBINEDAUTHORITIES, COMBINEDAUTHORITIESCENSUS2021",COMBINEDAUTHORITIESCENSUS2021
2022-2024,ITL2_CODE,"ITL221, ITL221CENSUS2021, ITL225CENSUS2021","ITL221CENSUS2021, ITL225CENSUS2021"
2022-2024,ITL3_CODE,"ITL321, ITL321CENSUS2021, ITL325CENSUS2021","ITL321CENSUS2021, ITL325CENSUS2021"
2022-2024,AGE,AGE,AGE
2022-2024,SEX,SEX,SEX
2022-2024,LABOUR_STATUS,ILODEFR,ILODEFR
2022-2024,OUTCOME_STATUS,IOUTCOME,IOUTCOME
2022-2024,FULLTIME_PARTTIME,FTPT,FTPT
2022-2024,GROSS_WEEKLY_PAY,GRSSWK,GRSSWK
2022-2024,HOURLY_RATE,HRRATE,HRRATE
2022-2024,HOURPAY,HOURPAY,HOURPAY
2022-2024,HIGHEST_QUAL,"HIQUAL15, HIQUAL22","HIQUAL15, HIQUAL22"
2022-2024,HEALTH_LIMITATION,HEALYR,HEALYR
2022-2024,ETHNICITY,ETH11EW,ETH11EW
2022-2024,COUNTRY_NAME,COUNTRY,COUNTRY
