PERSON_ID,SOURCE_PERIOD,YEAR,WEIGHT,AGE,SEX,LABOUR_STATUS,OUTCOME_STATUS,FULLTIME_PARTTIME,GROSS_WEEKLY_PAY,HOURLY_RATE,HOURPAY,HIGHEST_QUAL,HEALTH_LIMITATION,ETHNICITY,COUNTRY_NAME,COUNTRY_CODE,REGION_CODE,COMBINED_AUTHORITY,ITL2_CODE,ITL3_CODE
1.0,2019-2021,2020,255,68,1,3,1,,,,,8.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
2.0,2019-2021,2020,245,65,2,3,1,,,,,24.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
3.0,2019-2021,2020,220,80,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
4.0,2019-2021,2020,186,55,2,1,1,2.0,419.0,9.0,27.93,40.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
5.0,2019-2021,2020,166,69,2,1,1,1.0,392.0,10.0,9.8,48.0,2.0,2.0,1,E92000001,E12000009,-9,TLK3,TLK30
6.0,2019-2021,2020,0,49,1,1,2,1.0,,,,75.0,,2.0,1,E92000001,E12000009,-9,TLK3,TLK30
7.0,2019-2021,2021,265,66,1,3,1,,,,,1.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
8.0,2019-2021,2021,0,57,2,1,2,1.0,323.0,,8.5,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
9.0,2019-2021,2021,284,61,2,3,1,,,,,18.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
10.0,2019-2021,2021,247,71,1,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
11.0,2019-2021,2021,376,50,1,1,1,1.0,615.0,,17.08,58.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
12.0,2019-2021,2021,0,48,2,1,2,2.0,106.0,12.0,11.78,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
13.0,2019-2021,2021,0,16,1,3,2,,,,,84.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
14.0,2019-2021,2021,237,74,1,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
15.0,2019-2021,2021,227,72,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
16.0,2019-2021,2021,370,63,1,1,1,1.0,,,,1.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
17.0,2019-2021,2021,359,52,2,1,1,1.0,669.0,,17.61,1.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
18.0,2019-2021,2021,279,55,1,1,1,1.0,788.0,,22.51,37.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
19.0,2019-2021,2021,387,61,2,3,1,,,,,66.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
20.0,2019-2021,2021,0,60,1,3,2,,,,,84.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
21.0,2019-2021,2021,0,24,2,1,2,1.0,385.0,,8.37,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
22.0,2019-2021,2021,0,21,1,3,2,,,,,84.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
23.0,2019-2021,2019,722,34,2,1,1,1.0,,,,14.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
24.0,2019-2021,2019,821,36,1,1,1,1.0,692.0,,18.21,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
25.0,2019-2021,2019,0,10,2,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
26.0,2019-2021,2019,0,7,1,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
27.0,2019-2021,2020,137,73,1,3,7,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
28.0,2019-2021,2020,0,73,2,3,7,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
29.0,2019-2021,2020,104,38,1,3,1,,,,,39.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
30.0,2019-2021,2019,634,41,2,1,1,1.0,442.0,,14.73,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
31.0,2019-2021,2019,0,15,2,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
32.0,2019-2021,2019,0,13,1,4,4,,,,,,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
33.0,2019-2021,2019,609,80,1,3,7,,,,,,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
34.0,2019-2021,2019,669,79,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
35.0,2019-2021,2020,63,65,1,3,1,,,,,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
36.0,2019-2021,2020,0,57,2,3,2,,,,,8.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
37.0,2019-2021,2020,348,76,2,3,7,,,,,,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
38.0,2019-2021,2020,541,32,1,3,1,,,,,84.0,1.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
39.0,2019-2021,2020,193,61,2,1,1,2.0,190.0,9.1,9.5,84.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
40.0,2019-2021,2020,0,60,1,1,2,1.0,381.0,,9.53,83.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
41.0,2019-2021,2020,202,58,2,3,1,,,,,66.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
42.0,2019-2021,2020,158,57,2,3,1,,,,,37.0,2.0,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
43.0,2019-2021,2020,0,60,1,3,2,,,,,37.0,,1.0,1,E92000001,E12000009,-9,TLK3,TLK30
